row,long,lat
1146,-115.9007501,33.79067165
1148,-116.3814371,34.28103233
1150,-116.9172002,34.3113934
1158,-116.1729593,33.87024857
1161,-118.388511,36.04011108
1162,-115.8847465,32.64703943
1163,-118.1923708,33.76672793
1164,-115.5698349,32.18432881
1170,-115.7863658,32.65778332
1172,-116.5213658,35.71028834
1175,-115.3155011,32.24316571
1178,-119.9711703,33.74783144
1179,-115.4863074,32.74275403
1182,-116.9716711,33.53450854
1184,-117.060018,34.90502897
1189,-119.4373708,34.34138837
1197,-118.3513519,35.76628508
1203,-118.7315232,35.420172
1205,-118.0044859,33.59313945
1207,-117.0221329,35.93953016
1208,-116.970628,33.98266713
1209,-117.5806747,34.35783097
1210,-118.5836678,33.65532809
1211,-116.7836788,35.52782566
1213,-118.9989899,35.52083455
1214,-116.5528322,32.47232967
1215,-115.7648575,32.06782819
1216,-118.0823254,34.052462
1242,-115.2143226,32.34307961
1250,-116.4090314,32.02350086
1253,-117.6404953,32.18333375
1255,-117.8204171,35.3477382
1259,-115.7761668,33.07103428
1440,-118.7728318,33.98167296
1450,-118.2799909,35.49435864
1459,-119.0475255,34.89151343
1460,-118.7903128,35.37185985
1481,-116.6903279,34.93367486
1485,-115.1043544,32.29692667
1487,-117.8236501,35.39651619
1497,-116.9823822,33.92150045
1500,-118.6536071,34.61208552
1512,-116.2494771,34.03888235
1516,-115.5178493,32.09552445
1522,-118.704334,34.00217455
1529,-116.5513263,34.96182609
1531,-119.3869541,35.19050847
1532,-116.3070428,33.26681217
1533,-115.4696822,32.52765921
1534,-117.4854612,35.68814514
1537,-116.9967935,33.44682575
1539,-116.311537,35.57932827
1545,-117.4689659,34.12189226
1550,-117.1034585,33.97307328
1552,-118.744499,34.93782788
1555,-115.1557278,32.35676266
1557,-117.5640132,34.03963906
1564,-116.4103342,32.12290701
1566,-115.9785578,33.78642016
1567,-117.7111941,34.13667194
1583,-116.951882,34.97868283
1585,-115.716721,32.02356575
1586,-120.7556552,34.56944419
1587,-116.4833347,35.68948708
1589,-117.269017,34.08055602
1591,-117.9368307,32.42266769
1595,-115.4410268,32.14424529
1597,-116.435565,34.52574275
1599,-118.0158316,33.4391675
1604,-119.0152786,35.09551299
1611,-119.5774539,35.56099232
1615,-120.7829749,34.41907743
1620,-118.4047606,34.2778913
1623,-118.325366,32.33417471
1642,-120.3397732,35.77508978
1647,-117.1787917,34.04888072
1665,-118.3181694,32.77033013
1693,-118.6251669,33.91850223
1697,-115.7001675,32.31117395
1702,-118.3007752,35.54816986
1722,-115.7366705,32.2205315
1742,-118.3608327,32.81867426
1746,-118.0963761,32.66323267
1753,-116.9649698,35.89755638
1754,-116.2602939,33.37278575
1776,-116.8240492,32.07339029
1781,-116.9223879,35.50124292
1782,-115.0598251,32.12831366
1784,-119.1040427,34.00296824
1791,-116.1595575,32.57921665
1797,-116.17131,33.75612195
1800,-117.9353333,33.63805873
1802,-120.1093297,33.69317364
1804,-117.5541719,32.23846728
1805,-116.014796,32.02948032
1806,-115.8542925,32.09881469
1820,-115.4037657,32.72315838
1822,-116.7853305,34.94478319
1823,-120.3173266,34.32582793
1825,-117.1633865,34.01896856
1826,-116.8432283,34.58984478
1832,-121.033654,34.80914858
1834,-117.6476682,32.14417255
1836,-116.3489121,33.32813426
1845,-115.2195536,32.48215474
1848,-117.4528728,32.1488288
1849,-115.8627358,32.04735579
1851,-117.4966274,34.27775044
1855,-116.1564641,32.81533492
1856,-116.5258487,32.13803621
1857,-116.9164439,33.9785074
1861,-116.2400921,33.3347671
1864,-118.9459239,34.75766132
1866,-117.5456484,35.67262792
1870,-117.7969461,35.36848248
1871,-119.2232865,33.98266256
1875,-118.7098328,33.39466595
1876,-116.831456,33.98905416
1885,-117.6341734,32.20273818
1886,-117.9991183,32.56483013
1892,-119.1280551,34.56560599
1893,-116.0248398,33.73918827
1894,-115.1627788,32.4703295
1897,-116.9378327,32.46446003
1899,-119.4815493,35.32616648
1900,-117.379133,34.19611358
1911,-116.3801134,33.25732401
1913,-118.2156827,35.22192246
