"","datetime","lat","long","mag"
"368",1983-04-01 22:56:58,34.91367,-120.99633,3.4
"369",1983-04-10 17:19:21,33.92183,-118.46517,3.31
"370",1983-04-15 16:33:20,32.49414,-115.25892,3.24
"371",1983-04-16 12:25:27,34.32547,-118.56554,3.51
"373",1983-04-16 22:36:00,34.03623,-116.40045,3.31
"374",1983-04-17 11:49:39,35.3301,-118.6097,3.3
"375",1983-04-18 21:39:07,34.02373,-118.21593,3.02
"376",1983-04-23 06:10:22,33.326,-116.92983,3.04
"377",1983-05-01 03:45:25,33.2235,-116.08317,3.26
"378",1983-05-08 00:05:01,33.94833,-116.98814,3.3
"379",1983-05-08 10:06:32,33.05618,-115.70767,3.01
"380",1983-05-10 03:28:17,33.14905,-115.62212,3.22
"382",1983-05-15 12:47:28,34.5705,-121.48917,3.81
"383",1983-05-19 11:05:27,33.51409,-116.67836,3.12
"384",1983-05-22 06:49:52,35.69691,-118.10053,3.1
"385",1983-05-24 07:03:32,33.79003,-116.05068,3.06
"386",1983-05-26 16:30:20,33.4831,-116.47852,3.73
"387",1983-05-27 11:25:18,33.6445,-116.72246,3.57
"388",1983-06-10 00:34:01,35.48976,-118.62524,3.02
"389",1983-06-13 17:39:24,34.18885,-115.91627,3.05
"390",1983-06-18 01:20:31,32.03717,-115.74833,3.24
"391",1983-06-28 13:12:35,33.84733,-120.45867,3.49
"392",1983-06-29 08:08:35,32.53483,-117.41833,4.65
"393",1983-06-30 05:12:49,32.24067,-115.80533,3.17
"394",1983-07-03 10:19:19,32.94494,-116.25663,3.18
"395",1983-07-04 07:03:20,33.44376,-116.41986,3.82
"396",1983-07-06 18:42:48,32.09067,-115.77167,3.4
"397",1983-07-11 22:55:17,33.19727,-115.52791,3.24
"402",1983-07-14 14:59:05,34.09818,-118.26608,3.04
"405",1983-07-20 00:21:37,32.25765,-115.3045,3.02
"406",1983-07-31 22:51:06,35.34891,-118.55305,3.34
"407",1983-08-02 22:21:16,33.53414,-116.45463,3.16
"408",1983-08-11 16:48:46,32.1045,-115.584,3.28
"409",1983-09-12 12:08:02,34.05787,-117.24575,3.69
"410",1983-09-12 21:33:34,35.22967,-117.03867,3.3
"412",1983-09-21 08:34:10,32.05317,-116.314,3.33
"413",1983-09-23 01:35:26,35.56052,-118.55637,3.06
"414",1983-10-07 10:40:24,33.98216,-116.95276,3.11
"415",1983-10-17 01:12:05,32.5385,-117.518,3.28
"416",1983-10-17 16:30:09,32.092,-116.41667,3.19
"417",1983-10-19 14:00:37,35.90679,-118.3256,3.96
"420",1983-10-21 11:13:13,34.93633,-120.44367,3.13
"424",1983-10-23 23:35:43,35.05986,-119.04805,3.17
"432",1983-10-25 22:25:55,32.28467,-116.99683,3.11
"435",1983-10-29 06:38:02,34.00421,-116.60856,3.44
"437",1983-11-04 17:57:46,35.04673,-119.09088,3.02
"453",1983-11-11 16:36:31,32.96143,-115.86269,3.38
"457",1983-11-15 04:52:16,33.0334,-115.55969,3.17
"463",1983-11-18 09:55:37,34.0138,-117.19592,3.06
"464",1983-11-21 08:15:44,32.22754,-115.37918,3.05
"466",1983-12-06 01:20:23,34.82078,-116.39926,3.28
"473",1983-12-13 01:40:23,33.89528,-116.14589,3.46
"474",1983-12-18 17:56:49,35.76843,-118.0104,3.18
"476",1983-12-20 01:15:04,32.95477,-116.2919,3.47
"477",1983-12-22 16:43:36,34.40217,-120.61017,3.13
"478",1983-12-27 21:34:37,33.7797,-116.11915,3.16
"480",1983-12-29 19:46:16,34.17382,-117.34608,3.58
"485",1984-01-05 16:26:02,32.90844,-115.56291,3.11
"489",1984-01-15 17:54:20,34.32522,-116.46596,3.05
"491",1984-01-18 17:25:24,35.95876,-117.96395,3.1
"493",1984-02-01 06:39:33,33.53524,-116.79447,3.09
"494",1984-02-02 21:47:56,33.91023,-116.83222,3.14
"496",1984-02-05 20:39:45,34.55143,-118.91053,3.25
"497",1984-02-07 03:33:30,34.31952,-119.25632,3.28
"498",1984-02-07 07:52:35,33.8765,-120.3255,3.22
"501",1984-02-14 06:41:39,32.06241,-116.28204,3.53
"504",1984-02-27 10:18:15,33.46945,-118.05578,3.86
"505",1984-02-28 06:08:59,34.39153,-116.82634,3.35
"506",1984-02-29 02:07:31,33.13368,-116.07418,4.23
"508",1984-03-07 03:32:36,34.56391,-115.92126,3
"509",1984-03-07 14:42:32,32.18322,-115.79331,3
"510",1984-03-12 10:17:53,34.89895,-119.02632,3.51
"512",1984-03-16 19:53:21,33.70792,-116.72561,3.03
"513",1984-03-17 16:21:45,32.08647,-116.35441,3
"522",1984-04-01 07:17:02,33.11921,-116.40837,3.93
"528",1984-04-08 19:50:52,32.48349,-115.43627,3.4
"530",1984-04-13 03:28:36,32.13808,-115.80245,4.15
"531",1984-04-14 16:56:10,34.82526,-118.99376,3.02
"532",1984-04-18 13:19:02,33.66104,-118.38506,3.12
"533",1984-04-21 07:35:47,34.26339,-119.60941,3.16
"534",1984-04-21 11:58:23,32.031,-116.36933,3.8
"544",1984-04-23 14:31:13,32.90652,-115.52825,3.49
"549",1984-04-26 22:44:17,32.75253,-115.42649,3.6
"550",1984-04-29 12:19:02,32.9629,-115.52855,3.42
"551",1984-05-03 01:26:43,32.00283,-116.33269,3.24
"552",1984-05-03 09:47:45,34.32572,-116.40767,3.27
"553",1984-05-07 19:32:32,34.6988,-119.9194,4.26
"555",1984-05-08 22:16:44,33.56584,-118.23076,3.05
"556",1984-05-14 23:06:30,32.43633,-115.32433,3.75
"557",1984-05-15 17:11:35,32.33424,-115.38059,3.55
"559",1984-05-16 17:30:12,34.80183,-120.32833,3.54
"561",1984-05-30 06:36:16,34.91677,-119.00238,3.05
"562",1984-05-31 05:14:54,32.13045,-115.71406,3.19
"563",1984-05-31 23:30:48,32.36251,-115.19839,4.05
"564",1984-06-07 22:00:13,33.29746,-115.70023,3
"566",1984-06-10 20:19:07,33.8206,-116.17218,3.05
"567",1984-06-11 22:21:10,34.38307,-116.61104,3.94
"568",1984-06-12 00:27:52,34.54748,-118.99823,4.04
"569",1984-06-13 01:32:26,34.41412,-119.31272,3.1
"572",1984-06-18 06:31:28,32.35053,-115.09274,3.06
"573",1984-06-20 19:28:06,34.98733,-120.69633,4.05
"575",1984-06-24 21:57:29,33.95907,-116.3377,3.51
"577",1984-07-01 23:12:03,35.08025,-116.67486,3.06
"578",1984-07-02 19:16:55,32.42667,-118.07683,3.48
"579",1984-07-02 21:08:08,34.30647,-116.48921,3.15
"580",1984-07-04 13:00:50,33.96158,-117.19095,3.36
"581",1984-07-06 12:00:12,35.73518,-118.05366,3.9
"583",1984-07-08 11:41:17,33.70623,-118.07037,3.01
"584",1984-07-09 15:51:21,34.41035,-118.71333,3.12
"588",1984-07-12 12:17:42,33.47574,-116.40224,3.15
"590",1984-07-18 02:13:54,35.07248,-119.09804,3.19
"591",1984-07-25 18:43:23,34.05229,-116.73356,3.31
"592",1984-07-27 19:42:07,34.24857,-116.16829,3.5
"593",1984-08-05 09:38:51,34.40652,-118.44303,3.16
"594",1984-08-06 08:14:36,33.97958,-116.71463,4.21
"595",1984-08-13 18:54:27,35.9941,-117.7816,3
"596",1984-08-14 15:29:29,32.04867,-115.66933,3.06
"597",1984-08-25 19:12:38,32.71217,-118.21911,3.34
"599",1984-09-06 10:04:33,34.01583,-117.02,3.12
"600",1984-09-07 06:50:36,32.74133,-118.16283,3.6
"601",1984-09-07 11:03:26,32.94785,-117.83013,4.31
"602",1984-09-07 14:51:50,35.98633,-117.31383,3.68
"603",1984-09-07 17:57:30,33.45933,-116.39917,4.07
"604",1984-09-10 11:48:39,32.08703,-116.43975,3.05
"606",1984-09-13 18:36:43,35.73884,-116.63673,3.03
"608",1984-09-19 21:11:18,34.62859,-120.04183,3.48
"610",1984-09-30 09:23:16,33.47292,-116.58372,3.07
"611",1984-09-30 21:16:14,32.53999,-115.26302,3.64
"612",1984-10-01 14:37:57,35.0329,-119.08906,3.3
"613",1984-10-02 02:59:16,34.32092,-119.2189,3.27
"615",1984-10-03 12:49:49,33.99283,-118.66508,3.25
"616",1984-10-05 07:37:14,33.6746,-116.69637,3.92
"617",1984-10-06 08:21:05,35.01511,-118.47234,3.08
"618",1984-10-07 04:21:16,34.27883,-120.56517,3.51
"620",1984-10-15 17:44:04,33.6814,-118.17817,3.72
"621",1984-10-16 22:18:50,33.82279,-117.01799,3.31
"622",1984-10-18 00:57:13,33.93517,-118.01767,3.12
"623",1984-10-19 08:01:25,35.81869,-119.97584,3.01
"626",1984-10-25 07:59:34,34.04126,-116.84036,3.08
"627",1984-10-25 10:36:01,34.7505,-120.11067,4.53
"629",1984-10-26 17:20:43,34.03133,-118.98817,4.56
"630",1984-10-27 20:22:06,33.28146,-115.70208,3.04
"632",1984-11-05 02:59:27,34.14727,-117.42878,3.44
"633",1984-11-08 09:43:32,33.8965,-118.27754,3.25
"635",1984-11-18 05:50:44,34.13567,-117.3765,3.08
"636",1984-11-19 05:02:53,35.86161,-117.72504,3.13
"638",1984-11-25 05:08:47,33.30267,-118.69117,3.84
"639",1984-11-26 02:14:58,32.04303,-116.2734,3.16
"640",1984-11-26 08:18:48,34.26359,-119.45237,3.21
"642",1984-11-27 13:16:09,33.36375,-116.34605,3.03
"643",1984-12-09 18:56:25,32.03389,-116.24168,3.81
"645",1984-12-14 21:28:07,33.89043,-117.82374,3.21
"646",1984-12-21 22:09:16,35.46067,-119.75917,3.13
